11:45:39 AM-> [16]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:39 AM-> [31]DCON READ_CH1_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#001], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:39 AM-> [16]DCON READ_CH2_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#002], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:39 AM-> [31]DCON READ_CH3_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#003], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:39 AM-> [15]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:39 AM-> [32]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
11:45:40 AM-> [124]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:40 AM-> [16]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!0F0F00]Raw [21 30 46 30 46 30 30 ]
11:45:40 AM-> [16]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!0F0000]Raw [21 30 46 30 30 30 30 ]
11:45:40 AM-> [31]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:40 AM-> [31]DCON READ_CH1_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#001], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:40 AM-> [16]DCON READ_CH2_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#002], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:40 AM-> [31]DCON READ_CH3_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#003], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:40 AM-> [15]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:40 AM-> [16]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
11:45:40 AM-> [140]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:40 AM-> [16]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!0F0F00]Raw [21 30 46 30 46 30 30 ]
11:45:40 AM-> [16]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!0F0000]Raw [21 30 46 30 30 30 30 ]
11:45:40 AM-> [31]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:40 AM-> [31]DCON READ_CH1_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#001], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:40 AM-> [16]DCON READ_CH2_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#002], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:40 AM-> [31]DCON READ_CH3_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#003], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:40 AM-> [15]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:40 AM-> [16]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
11:45:40 AM-> [140]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:40 AM-> [16]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!0F0F00]Raw [21 30 46 30 46 30 30 ]
11:45:40 AM-> [16]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!0F0000]Raw [21 30 46 30 30 30 30 ]
11:45:40 AM-> [31]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:40 AM-> [31]DCON READ_CH1_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#001], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:40 AM-> [16]DCON READ_CH2_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#002], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:40 AM-> [31]DCON READ_CH3_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#003], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:40 AM-> [15]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:40 AM-> [16]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
11:45:41 AM-> [140]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:41 AM-> [16]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!0F0F00]Raw [21 30 46 30 46 30 30 ]
11:45:41 AM-> [31]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!0F0000]Raw [21 30 46 30 30 30 30 ]
11:45:41 AM-> [16]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:41 AM-> [31]DCON READ_CH1_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#001], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:41 AM-> [16]DCON READ_CH2_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#002], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:41 AM-> [31]DCON READ_CH3_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#003], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:41 AM-> [15]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:41 AM-> [32]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
11:45:41 AM-> [124]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:41 AM-> [16]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!0F0F00]Raw [21 30 46 30 46 30 30 ]
11:45:41 AM-> [31]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!0F0000]Raw [21 30 46 30 30 30 30 ]
11:45:41 AM-> [16]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:41 AM-> [31]DCON READ_CH1_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#001], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:41 AM-> [16]DCON READ_CH2_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#002], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:41 AM-> [31]DCON READ_CH3_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#003], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:41 AM-> [15]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:41 AM-> [32]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
11:45:41 AM-> [124]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:41 AM-> [16]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!0F0F00]Raw [21 30 46 30 46 30 30 ]
11:45:41 AM-> [31]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!0F0000]Raw [21 30 46 30 30 30 30 ]
11:45:41 AM-> [16]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:41 AM-> [31]DCON READ_CH1_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#001], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:41 AM-> [16]DCON READ_CH2_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#002], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:41 AM-> [31]DCON READ_CH3_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#003], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:41 AM-> [15]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:41 AM-> [32]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
11:45:41 AM-> [124]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:42 AM-> [16]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!0F0F00]Raw [21 30 46 30 46 30 30 ]
11:45:42 AM-> [16]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!0F0000]Raw [21 30 46 30 30 30 30 ]
11:45:42 AM-> [31]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:42 AM-> [31]DCON READ_CH1_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#001], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:42 AM-> [16]DCON READ_CH2_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#002], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:42 AM-> [31]DCON READ_CH3_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#003], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:42 AM-> [15]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:42 AM-> [16]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
11:45:42 AM-> [140]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:42 AM-> [16]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!0F0F00]Raw [21 30 46 30 46 30 30 ]
11:45:42 AM-> [31]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!0F0000]Raw [21 30 46 30 30 30 30 ]
11:45:42 AM-> [16]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:42 AM-> [31]DCON READ_CH1_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#001], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:42 AM-> [16]DCON READ_CH2_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#002], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:42 AM-> [31]DCON READ_CH3_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#003], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:42 AM-> [15]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:42 AM-> [32]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
11:45:42 AM-> [124]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:42 AM-> [16]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!0F0F00]Raw [21 30 46 30 46 30 30 ]
11:45:42 AM-> [31]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!0F0000]Raw [21 30 46 30 30 30 30 ]
11:45:42 AM-> [16]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:42 AM-> [31]DCON READ_CH1_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#001], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:42 AM-> [16]DCON READ_CH2_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#002], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:42 AM-> [31]DCON READ_CH3_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#003], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:42 AM-> [15]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:42 AM-> [32]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
11:45:42 AM-> [124]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:42 AM-> [16]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!0F0F00]Raw [21 30 46 30 46 30 30 ]
11:45:42 AM-> [16]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!0F0000]Raw [21 30 46 30 30 30 30 ]
11:45:42 AM-> [31]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:43 AM-> [31]DCON READ_CH1_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#001], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:43 AM-> [16]DCON READ_CH2_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#002], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:43 AM-> [31]DCON READ_CH3_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#003], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:43 AM-> [15]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:43 AM-> [16]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
11:45:43 AM-> [140]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:43 AM-> [16]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!0F0F00]Raw [21 30 46 30 46 30 30 ]
11:45:43 AM-> [16]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!0F0000]Raw [21 30 46 30 30 30 30 ]
11:45:43 AM-> [31]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:43 AM-> [31]DCON READ_CH1_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#001], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:43 AM-> [16]DCON READ_CH2_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#002], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:43 AM-> [31]DCON READ_CH3_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#003], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:43 AM-> [15]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:43 AM-> [16]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
11:45:43 AM-> [140]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:43 AM-> [16]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!0F0F00]Raw [21 30 46 30 46 30 30 ]
11:45:43 AM-> [31]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!0F0000]Raw [21 30 46 30 30 30 30 ]
11:45:43 AM-> [16]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:43 AM-> [31]DCON READ_CH1_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#001], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:43 AM-> [16]DCON READ_CH2_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#002], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:43 AM-> [31]DCON READ_CH3_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#003], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:43 AM-> [15]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:43 AM-> [16]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
11:45:43 AM-> [140]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:43 AM-> [16]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!0F0F00]Raw [21 30 46 30 46 30 30 ]
11:45:43 AM-> [16]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!0F0000]Raw [21 30 46 30 30 30 30 ]
11:45:43 AM-> [31]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:43 AM-> [31]DCON READ_CH1_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#001], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:43 AM-> [16]DCON READ_CH2_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#002], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:44 AM-> [31]DCON READ_CH3_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#003], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:44 AM-> [15]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:44 AM-> [16]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
11:45:44 AM-> [140]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:44 AM-> [16]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!0F0F00]Raw [21 30 46 30 46 30 30 ]
11:45:44 AM-> [16]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!0F0000]Raw [21 30 46 30 30 30 30 ]
11:45:44 AM-> [31]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:44 AM-> [31]DCON READ_CH1_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#001], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:44 AM-> [16]DCON READ_CH2_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#002], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:44 AM-> [31]DCON READ_CH3_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#003], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:44 AM-> [15]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:44 AM-> [16]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
11:45:44 AM-> [140]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:44 AM-> [16]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!0F0F00]Raw [21 30 46 30 46 30 30 ]
11:45:44 AM-> [31]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!0F0000]Raw [21 30 46 30 30 30 30 ]
11:45:44 AM-> [16]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:44 AM-> [31]DCON READ_CH1_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#001], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:44 AM-> [16]DCON READ_CH2_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#002], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:44 AM-> [31]DCON READ_CH3_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#003], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:44 AM-> [15]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:44 AM-> [16]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
11:45:44 AM-> [124]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:44 AM-> [16]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!0F0F00]Raw [21 30 46 30 46 30 30 ]
11:45:44 AM-> [31]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!0F0000]Raw [21 30 46 30 30 30 30 ]
11:45:44 AM-> [16]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:44 AM-> [31]DCON READ_CH1_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#001], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:44 AM-> [16]DCON READ_CH2_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#002], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:44 AM-> [31]DCON READ_CH3_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#003], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:44 AM-> [15]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:44 AM-> [16]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
11:45:45 AM-> [140]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:45 AM-> [16]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!0F0F00]Raw [21 30 46 30 46 30 30 ]
11:45:45 AM-> [16]DCON READ_DI_LOW_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L0], Rec [!0F0000]Raw [21 30 46 30 30 30 30 ]
11:45:45 AM-> [31]DCON READ_CH0_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#000], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:45 AM-> [31]DCON READ_CH1_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#001], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:45 AM-> [16]DCON READ_CH2_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#002], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:45 AM-> [31]DCON READ_CH3_DI_COUNTER,B[9600],F[N,8,1], C[Disable], Cmd [#003], Rec [!0000000]Raw [21 30 30 30 30 30 30 30 ]
11:45:45 AM-> [15]DCON READ_DO,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:45 AM-> [16]DCON READ_WDT_STATUS,B[9600],F[N,8,1], C[Disable], Cmd [~000], Rec [!0000]Raw [21 30 30 30 30 ]
11:45:45 AM-> [140]DCON READ_DI,B[9600],F[N,8,1], C[Disable], Cmd [@00], Rec [>0F0F]Raw [3E 30 46 30 46 ]
11:45:45 AM-> [16]DCON READ_DI_HIGH_LATCH,B[9600],F[N,8,1], C[Disable], Cmd [$00L1], Rec [!0F0F00]Raw [21 30 46 30 46 30 30 ]
